asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
20,0.32251885533332825,0.28963881731033325,0.25413841009140015,0.2092398703098297,119.084410276,130.528230128,129.866312999,119.049098485,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,20,20,BDI,BDI-ADM2-21766830B1014283,Bisoro,ADM2
21,0.2386057703544168,0.2098270285796201,0.18891238856206788,0.14477856582374513,125.866406146,129.038005638,130.590272331,126.333025602,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,21,21,BDI,BDI-ADM2-21766830B83440596,Matana,ADM2
22,0.33269429604842016,0.2998130984769452,0.2628251179639167,0.21584320917939803,117.417340881,132.149626231,134.275515274,114.07077288,18.2167916037,18.4296662918,18.2023957098,18.7099680472,ADM2,22,22,BDI,BDI-ADM2-21766830B12302293,Kayokwe,ADM2
23,0.25236744038920017,0.23427995868017845,0.22028422895378288,0.18220560058894675,121.883680427,132.465205848,126.255814117,104.860441888,22.2500004768,22.441666762,22.2500004768,22.7666672071,ADM2,23,23,BDI,BDI-ADM2-21766830B84679194,Mpanda,ADM2
24,0.308367994610118,0.29423494947749634,0.28543454210979163,0.25629076461201444,145.828289717,154.45710208,151.02746557,138.957230012,19.9406753835,20.0969227077,19.926507691,20.4219228826,ADM2,24,24,BDI,BDI-ADM2-21766830B5786694,Murwi,ADM2
25,0.2736231011772573,0.2569739288599378,0.24358147858630677,0.20989705893240912,129.022626059,139.209319402,135.347092267,116.471711266,21.7064683163,21.8897982506,21.7031337505,22.2147986321,ADM2,25,25,BDI,BDI-ADM2-21766830B57251303,Bubanza,ADM2
26,0.37038068123557066,0.3426401672115365,0.3125844845982315,0.24514168966418007,120.483195185,125.820172045,130.449399161,112.426966898,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,26,26,BDI,BDI-ADM2-21766830B7527489,Rango,ADM2
27,0.2745834482991492,0.25317311713731294,0.23001872133468906,0.18222536782100612,128.60559093,133.861109195,138.377549787,114.088830537,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,27,27,BDI,BDI-ADM2-21766830B73200564,Bukeye,ADM2
28,0.26195167664187813,0.24012698462695228,0.2166049628339434,0.16829849418141363,125.000161992,134.189995087,142.505044516,114.685050184,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,28,28,BDI,BDI-ADM2-21766830B14828393,Muramvya,ADM2
29,0.2317248217384173,0.2115532372588632,0.1872776275577179,0.14195008131717052,122.024592996,132.852429059,138.180314731,115.721268776,21.2325004767,21.4241668573,21.2250004959,21.73416715,ADM2,29,29,BDI,BDI-ADM2-21766830B86040923,Isale,ADM2
30,0.2383681111129246,0.22008490140868253,0.20051184785676335,0.15951399835820734,125.050023493,132.562567539,133.737404096,111.018700377,20.6846158545,20.8762822865,20.6730774225,21.178205574,ADM2,30,30,BDI,BDI-ADM2-21766830B14046636,Rugazi,ADM2
31,0.24405070845746696,0.22388474992034477,0.19854419244751184,0.15005976562567364,123.250053481,131.974942348,136.837379882,112.962407824,21.1194449001,21.3111112912,21.1111115879,21.6194449001,ADM2,31,31,BDI,BDI-ADM2-21766830B6994561,Mubimbi,ADM2
32,0.3496980755477008,0.3199407286395031,0.2919838304821707,0.23128561341304235,115.468143496,128.840453645,134.042529217,111.074522181,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,32,32,BDI,BDI-ADM2-21766830B66484666,Rutegama,ADM2
33,0.31240911988736564,0.28624028885855285,0.25837494290320684,0.20300497483817714,121.205189936,133.196483419,138.57277889,112.940172007,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,33,33,BDI,BDI-ADM2-21766830B43800508,Kiganda,ADM2
34,0.3464008853277998,0.31859500230296484,0.2905561860781946,0.22577088107426632,118.803152487,129.614157509,135.362188205,113.409445239,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,34,34,BDI,BDI-ADM2-21766830B72698958,Mbuye,ADM2
